,city,lat,temp,humidity,wind,clouds
0,albany,42.65,76.23,51,9.17,20
1,new norfolk,-42.78,50.52,50,17.22,75
2,bluff,-23.58,69.77,54,5.06,11
3,opuwo,-18.06,51.03,74,0.29,32
4,punta arenas,-53.16,35.24,64,11.41,0
5,jardim,-21.48,74.01,55,7.94,0
6,victoria,5.28,79.43,94,9.22,75
7,mataura,-46.19,50.0,77,4.52,98
8,byron bay,-28.65,62.1,88,1.12,2
9,touros,-5.2,73.4,88,3.36,40
10,nanortalik,60.14,35.85,92,3.0,72
11,harrison,39.26,87.49,45,4.7,40
12,kavieng,-2.57,83.5,71,4.03,68
13,castro,-42.48,41.0,100,1.63,90
14,praia da vitoria,38.73,66.63,88,3.15,40
15,sitka,37.17,95.67,23,13.94,0
16,ushuaia,-54.81,33.8,86,13.87,75
17,hermanus,-34.42,54.79,78,12.17,100
18,teya,21.05,73.2,94,9.17,90
19,ucluelet,48.94,67.69,68,6.93,40
20,meulaboh,4.14,80.79,80,9.01,81
21,miyako,33.63,77.0,78,13.87,75
22,butaritari,3.07,83.59,66,2.86,84
23,molteno,-31.4,50.38,42,11.45,0
24,tuktoyaktuk,69.44,39.2,80,11.41,75
25,avarua,-21.21,73.4,56,11.41,100
26,mangrol,25.33,89.24,50,9.08,77
27,cidreira,-30.17,70.63,78,5.95,43
28,hilo,19.71,75.87,58,10.29,90
29,khromtau,50.26,66.78,45,9.57,17
30,katsuura,33.93,79.63,83,8.05,75
31,busselton,-33.64,51.67,88,22.53,41
32,dikson,73.51,34.94,90,8.37,52
33,qaanaaq,77.48,50.34,47,1.59,0
34,tasiilaq,65.61,48.2,57,10.29,100
35,saint-philippe,45.36,66.85,93,4.7,75
36,buraydah,26.33,89.6,19,4.7,0
37,geraldton,49.72,73.4,46,4.7,40
38,jamestown,-33.21,45.59,89,10.4,17
39,bathsheba,13.22,82.4,78,21.92,40
40,cape town,-33.93,54.48,76,17.22,0
41,saskylakh,71.97,59.54,48,20.92,81
42,kunashak,55.7,61.9,77,11.18,40
43,saint-pierre,48.95,65.86,77,8.05,0
44,killybegs,54.63,57.99,85,10.0,42
45,teguldet,57.31,51.89,98,5.68,97
46,vaini,15.34,75.45,92,1.88,96
47,price,39.6,83.7,26,10.29,1
48,kapaa,22.08,82.08,66,14.99,75
49,luanda,-8.83,69.8,94,5.82,40
50,kilindoni,-7.91,79.85,78,17.11,0
51,salalah,17.01,80.6,94,5.82,75
52,ruidoso,33.33,84.22,13,12.75,1
53,talnakh,69.49,48.2,81,11.18,0
54,atuona,-9.8,81.27,74,12.95,50
55,ugoofaaru,5.67,83.03,77,10.8,87
56,mar del plata,-46.43,31.93,60,13.91,23
57,taldan,53.69,74.12,37,6.96,7
58,yar-sale,66.83,59.4,55,7.31,62
59,rikitea,-23.12,70.47,68,12.48,100
60,bredasdorp,-34.53,51.19,81,1.12,89
61,mahebourg,-20.41,68.38,64,16.11,40
62,east london,-33.02,58.89,28,4.68,4
63,port-gentil,-0.72,77.0,83,13.87,20
64,mpika,-11.84,53.94,57,6.35,0
65,bakaly,55.18,58.8,91,1.97,98
66,fare,-16.7,75.11,76,24.4,47
67,port lincoln,-34.72,56.73,73,25.52,100
68,cambrils,41.07,73.85,94,5.06,0
69,paulo ramos,-4.45,72.75,81,0.45,0
70,beringovskiy,63.05,48.62,76,6.2,100
71,severo-kurilsk,50.68,43.02,91,5.28,0
72,bethel,60.79,63.05,72,5.82,90
73,wasilla,61.58,80.51,48,4.7,1
74,constitucion,23.99,82.71,13,12.75,75
